Comment,Sentiment,Voice,Source or Author,Discussion
The software is okay. It gets the job done.,Neutral,,ChatGPT,"Request: ""Make a text sentiment dataset with neutral, positive, and negative sentiment reviews made by users for software issues. The dataset should have at least 100 different records.""
"
I highly recommend this software. It's fantastic.,Positive,,ChatGPT,"Request: ""Make a text sentiment dataset with neutral, positive, and negative sentiment reviews made by users for software issues. The dataset should have at least 100 different records.""
"
This software is a complete waste of money. Don't buy it.,Negative,,ChatGPT,"Request: ""Make a text sentiment dataset with neutral, positive, and negative sentiment reviews made by users for software issues. The dataset should have at least 100 different records.""
"
This software is just okay. It could be better.,Neutral,,ChatGPT,"Request: ""Make a text sentiment dataset with neutral, positive, and negative sentiment reviews made by users for software issues. The dataset should have at least 100 different records.""
"
This software is the best thing ever! I can't live without it.,Positive,,ChatGPT,"Request: ""Make a text sentiment dataset with neutral, positive, and negative sentiment reviews made by users for software issues. The dataset should have at least 100 different records.""
"
This software is terrible. It's full of bugs and glitches.,Negative,,ChatGPT,"Request: ""Make a text sentiment dataset with neutral, positive, and negative sentiment reviews made by users for software issues. The dataset should have at least 100 different records.""
"
This software is fine. It does what it's supposed to do.,Neutral,,ChatGPT,"Request: ""Make a text sentiment dataset with neutral, positive, and negative sentiment reviews made by users for software issues. The dataset should have at least 100 different records.""
"
This software is amazing! It's revolutionized my workflow.,Positive,,ChatGPT,"Request: ""Make a text sentiment dataset with neutral, positive, and negative sentiment reviews made by users for software issues. The dataset should have at least 100 different records.""
"
This software is lit! Everything is so smooth and easy to use.,positive,,ChatGPT,"Request: ""Make a text sentiment dataset with neutral, positive, and negative sentiment reviews with slang and typos which are made by users for software documentation. The dataset should have at least 100 different records."""
"Honestly, I'm not sure what this software is even supposed to do.",neutral,,ChatGPT,"Request: ""Make a text sentiment dataset with neutral, positive, and negative sentiment reviews with slang and typos which are made by users for software documentation. The dataset should have at least 100 different records."""
This sh*t is whack. Nothing works like it's supposed to.,negative,,ChatGPT,"Request: ""Make a text sentiment dataset with neutral, positive, and negative sentiment reviews with slang and typos which are made by users for software documentation. The dataset should have at least 100 different records."""
"Yo, this software is dope AF! So glad I started using it.",positive,,ChatGPT,"Request: ""Make a text sentiment dataset with neutral, positive, and negative sentiment reviews with slang and typos which are made by users for software documentation. The dataset should have at least 100 different records."""
"I'm not gonna lie, I had some trouble figuring out how to use this thing, but once I got the hang of it, it's been pretty useful.",neutral,,ChatGPT,"Request: ""Make a text sentiment dataset with neutral, positive, and negative sentiment reviews with slang and typos which are made by users for software documentation. The dataset should have at least 100 different records."""
"Ugh, this software is a total fail. Can't believe I wasted my money on it.",negative,,ChatGPT,"Request: ""Make a text sentiment dataset with neutral, positive, and negative sentiment reviews with slang and typos which are made by users for software documentation. The dataset should have at least 100 different records."""
"OMG, this software is amazing! It's like it can read my mind or something.",positive,,ChatGPT,"Request: ""Make a text sentiment dataset with neutral, positive, and negative sentiment reviews with slang and typos which are made by users for software documentation. The dataset should have at least 100 different records."""
"Meh, it's okay. Does the job, but nothing special.",neutral,,ChatGPT,"Request: ""Make a text sentiment dataset with neutral, positive, and negative sentiment reviews with slang and typos which are made by users for software documentation. The dataset should have at least 100 different records."""
This software is trash. Literally the worst thing I've ever used.,negative,,ChatGPT,"Request: ""Make a text sentiment dataset with neutral, positive, and negative sentiment reviews with slang and typos which are made by users for software documentation. The dataset should have at least 100 different records."""
"This software is fire! Seriously, I don't know how I ever got by without it.",positive,,ChatGPT,"Request: ""Make a text sentiment dataset with neutral, positive, and negative sentiment reviews with slang and typos which are made by users for software documentation. The dataset should have at least 100 different records."""
"It's alright, I guess. Not my favorite, but it gets the job done.",neutral,,ChatGPT,"Request: ""Make a text sentiment dataset with neutral, positive, and negative sentiment reviews with slang and typos which are made by users for software documentation. The dataset should have at least 100 different records."""
This software is a joke. Don't waste your time or money on it.,negative,,ChatGPT,"Request: ""Make a text sentiment dataset with neutral, positive, and negative sentiment reviews with slang and typos which are made by users for software documentation. The dataset should have at least 100 different records."""
This software is lit AF! I can't believe how much it's helped me.,positive,,ChatGPT,"Request: ""Make a text sentiment dataset with neutral, positive, and negative sentiment reviews with slang and typos which are made by users for software documentation. The dataset should have at least 100 different records."""
"I mean, it's fine. Nothing to write home about.",neutral,,ChatGPT,"Request: ""Make a text sentiment dataset with neutral, positive, and negative sentiment reviews with slang and typos which are made by users for software documentation. The dataset should have at least 100 different records."""
"I'm sorry, but this software is just straight-up garbage.",negative,,ChatGPT,"Request: ""Make a text sentiment dataset with neutral, positive, and negative sentiment reviews with slang and typos which are made by users for software documentation. The dataset should have at least 100 different records."""
"This software is the bomb dot com! Seriously, everyone should be using it.",positive,,ChatGPT,"Request: ""Make a text sentiment dataset with neutral, positive, and negative sentiment reviews with slang and typos which are made by users for software documentation. The dataset should have at least 100 different records."""
"Meh, it's decent. Gets the job done, but not very exciting.",neutral,,ChatGPT,"Request: ""Make a text sentiment dataset with neutral, positive, and negative sentiment reviews with slang and typos which are made by users for software documentation. The dataset should have at least 100 different records."""
This software is a hot mess. I can't even begin to describe how frustrating it is to use.,negative,,ChatGPT,"Request: ""Make a text sentiment dataset with neutral, positive, and negative sentiment reviews with slang and typos which are made by users for software documentation. The dataset should have at least 100 different records."""
This software is freaking awesome! I've been telling all my friends about it.,positive,,ChatGPT,"Request: ""Make a text sentiment dataset with neutral, positive, and negative sentiment reviews with slang and typos which are made by users for software documentation. The dataset should have at least 100 different records."""
"It's okay, I guess. Does what it's supposed to, but nothing more.",neutral,,ChatGPT,"Request: ""Make a text sentiment dataset with neutral, positive, and negative sentiment reviews with slang and typos which are made by users for software documentation. The dataset should have at least 100 different records."""
This software is a complete disaster. Avoid it at all costs.,negative,,ChatGPT,"Request: ""Make a text sentiment dataset with neutral, positive, and negative sentiment reviews with slang and typos which are made by users for software documentation. The dataset should have at least 100 different records."""
"This software is the bomb! Seriously, I don't know how I ever lived without it.",positive,,ChatGPT,"Request: ""Make a text sentiment dataset with neutral, positive, and negative sentiment reviews with slang and typos which are made by users for software documentation. The dataset should have at least 100 different records."""
"Meh, it's alright. Nothing to get too excited about.",neutral,,ChatGPT,"Request: ""Make a text sentiment dataset with neutral, positive, and negative sentiment reviews with slang and typos which are made by users for software documentation. The dataset should have at least 100 different records."""
This software is absolute garbage. Don't waste your time or money.,negative,,ChatGPT,"Request: ""Make a text sentiment dataset with neutral, positive, and negative sentiment reviews with slang and typos which are made by users for software documentation. The dataset should have at least 100 different records."""
This software is legit! It's made my life so much easier.,positive,,ChatGPT,"Request: ""Make a text sentiment dataset with neutral, positive, and negative sentiment reviews with slang and typos which are made by users for software documentation. The dataset should have at least 100 different records."""
"It's fine. Does what it's supposed to, but nothing special.",neutral,,ChatGPT,"Request: ""Make a text sentiment dataset with neutral, positive, and negative sentiment reviews with slang and typos which are made by users for software documentation. The dataset should have at least 100 different records."""
This software is a total nightmare. Avoid it if you can.,negative,,ChatGPT,"Request: ""Make a text sentiment dataset with neutral, positive, and negative sentiment reviews with slang and typos which are made by users for software documentation. The dataset should have at least 100 different records."""
"This software is the sh*t! Seriously, I can't believe how great it is.",positive,,ChatGPT,"Request: ""Make a text sentiment dataset with neutral, positive, and negative sentiment reviews with slang and typos which are made by users for software documentation. The dataset should have at least 100 different records."""
"I mean, it's alright. Gets the job done, but nothing to write home about.",neutral,,ChatGPT,"Request: ""Make a text sentiment dataset with neutral, positive, and negative sentiment reviews with slang and typos which are made by users for software documentation. The dataset should have at least 100 different records."""
This software is a complete disaster. I wouldn't recommend it to anyone.,negative,,ChatGPT,"Request: ""Make a text sentiment dataset with neutral, positive, and negative sentiment reviews with slang and typos which are made by users for software documentation. The dataset should have at least 100 different records."""
This software is freaking amazing! I can't believe how well it works.,positive,,ChatGPT,"Request: ""Make a text sentiment dataset with neutral, positive, and negative sentiment reviews with slang and typos which are made by users for software documentation. The dataset should have at least 100 different records."""
"Meh, it's decent. Does what it's supposed to, but nothing more.",neutral,,ChatGPT,"Request: ""Make a text sentiment dataset with neutral, positive, and negative sentiment reviews with slang and typos which are made by users for software documentation. The dataset should have at least 100 different records."""
This software is a complete waste of time. Don't even bother.,negative,,ChatGPT,"Request: ""Make a text sentiment dataset with neutral, positive, and negative sentiment reviews with slang and typos which are made by users for software documentation. The dataset should have at least 100 different records."""
"This software is the bomb diggity! Seriously, I don't know what I'd do without it.",positive,,ChatGPT,"Request: ""Make a text sentiment dataset with neutral, positive, and negative sentiment reviews with slang and typos which are made by users for software documentation. The dataset should have at least 100 different records."""
